,Cell_ID,Age,Development,BrainArea,CellTarget,CellType,CellLayer,RMP,Rin,Tau,Rheobase,AP_Threshold,AP_Height,AP_HalfWidth,AP_AHP,MaxFiringFrequency,AdaptationIndex,VoltageSag
82,SA94.4,9,P9-P13,S1BF,LHX6,PV,4,-61.468973777452895,45.73177046144066,0.0070274668697532195,246.33333333333323,-26.0009765625,50.47607421875,0.0010499999999999954,20.08056640625,34.0,1.4159928122192273,1.320068359375
83,SA94.5,9,P9-P13,S1BF,SSTCre,SST,4,-65.84013551334088,154.9611479938131,0.020289301157238575,103.36363636363626,-39.398193359375,66.864013671875,0.0012999999999998568,14.495849609375,70.0,1.284584980237154,1.429962158203125
84,SA94.6,9,P9-P13,S1BF,SSTCre,SST,4,-69.43986748174383,213.79390115598542,0.01651716981989414,85.54545454545452,-31.768798828125,52.337646484375,0.0014500000000001734,17.51708984375,70.0,1.4691449814126394,5.785552978515625
85,SA94.7,9,P9-P13,S1BF,Pyramidal,Pyr,4,-69.94133300781247,883.5148111979166,0.026855546539078085,10.0,-33.02001953125,57.7392578125,0.0025500000000000522,7.843017578125,38.0,1.6071235833783055,13.085968017578125
86,SA96.1,10,P9-P13,V1,LHX6;SSTCre,SST,4,-64.67770963331337,232.5526758880312,0.018242742563422558,74.84615384615392,-35.430908203125,55.2978515625,0.0021500000000000963,9.70458984375,70.0,1.2282282282282282,0.25384521484375
87,SA96.2,10,P9-P13,V1,LHX6,PV,4,-64.5209585163497,370.7862312460998,0.026403268494385963,59.749999999999915,-32.806396484375,52.947998046875,0.0017000000000000348,16.998291015625,66.0,1.428882833787466,4.228485107421875
88,SA96.3,10,P9-P13,V1,LHX6,PV,4,-67.52766389832783,307.7261211661088,-1.3036578164511046,15.702541106128566,-33.782958984375,48.614501953125,0.0014000000000000679,16.2353515625,68.0,1.165732586068855,6.22430419921875
89,SA96.4,10,P9-P13,V1,LHX6,PV,4,-64.59998096084448,119.90908430329628,1.4390992021647524,167.4187935034803,-26.42822265625,57.281494140625,0.0012499999999999734,17.852783203125,64.0,1.6183368869936035,4.390045166015625
90,SA96.5,10,P9-P13,V1,LHX6,PV,5,-61.74838693404772,227.833720376332,0.0223866238619048,61.79026955950033,-33.538818359375,44.219970703125,0.0013499999999999623,12.542724609375,94.0,1.2580645161290323,5.955322265625
91,SA99.1,15,P14-P18,S1BF,Pyramidal,Pyr,4,-80.55350009295998,241.41496010863412,0.01937003319823875,23.00558659217874,-31.280517578125,62.8662109375,0.0019000000000000128,8.148193359375,30.0,1.987573577501635,3.9384765625
92,SA99.2,15,P14-P18,S1BF,Pyramidal,Pyr,4,-75.82401672897996,352.63386449184594,0.021696135940934832,21.455573505654296,-35.797119140625,44.189453125,0.0026999999999999247,3.0517578125,30.0,1.7141509433962263,2.441192626953125
93,SA99.3,15,P14-P18,S1BF,SSTCre,FS,4,-67.74219362279692,186.27895551726655,0.011428226814158166,98.1323529411765,-31.646728515625,55.48095703125,0.0006999999999999229,21.484375,100.0,1.2857142857142858,2.320526123046875
94,SX23.3,13,P14-P18,V1,Pyramidal,Pyr,4,-71.02181803385419,551.4987645004721,0.05730288734717733,6.145631067961173,-37.445068359375,54.443359375,0.003349999999999964,1.03759765625,30.0,1.260543245175125,0.87872314453125
95,SX23.4,13,P14-P18,V1,Pyramidal,Pyr,4,-68.11715087890626,611.1299272017042,0.05222804666738802,16.61603375527426,-34.942626953125,65.4296875,0.002749999999999808,2.227783203125,30.0,0.9601593625498008,0.703948974609375
96,SX23.5,13,P14-P18,V1,Pyramidal,Pyr,4,-80.28929646809895,555.3800085819129,0.03364644179043948,17.11737089201877,-36.68212890625,56.94580078125,0.003049999999999997,4.180908203125,40.0,1.2765342960288808,1.821868896484375
97,SX34.1,7,P5-P8,V1,LHX6,ND,4,-65.14882134331596,1305.8768717447917,0.05567538208888701,19.39999999999998,-35.308837890625,44.525146484375,0.0022500000000000853,10.92529296875,56.0,1.3669724770642202,0.224365234375
98,SX34.2,7,P5-P8,V1,Pyramidal,Pyr,4,-51.16781855317734,1067.64800081548,0.06479978874270835,9.0,-29.327392578125,54.107666015625,0.0029999999999998916,5.584716796875,16.0,1.4338085539714867,0.76129150390625
99,SX34.3,7,P5-P8,V1,LHX6,PV,4,-52.27878105704205,198.77192994420247,0.05077634318382733,60.99999999999992,-37.9638671875,49.224853515625,0.0020999999999999908,8.636474609375,68.0,1.2592152199762188,0.4603271484375
100,SX34.4,7,P5-P8,V1,LHX6,PV,4,-65.92684326171874,1338.6578369140636,0.06570013247168012,19.832985386221306,-28.289794921875,46.7529296875,0.0018499999999999073,22.247314453125,52.0,1.1864776444929117,0.306488037109375
101,SX35.1,9,P9-P13,V1,Pyramidal,Pyr,4,-67.45289103190105,584.2293664180875,0.05114459517066324,13.531468531468532,-29.388427734375,56.610107421875,0.002950000000000008,7.2021484375,30.0,1.548936170212766,3.39691162109375
102,SX35.2,9,P9-P13,V1,Pyramidal,Pyr,4,-61.84949452885996,874.3336767922082,0.07133113200320582,8.571428571428571,-26.458740234375,55.908203125,0.00275000000000003,10.19287109375,30.0,1.172234595397179,8.1051025390625
103,SX35.3,9,P9-P13,S1BF,LHX6,PV,4,-70.01543485195795,221.59578104968313,0.6179298206039205,88.99999999999999,-34.1796875,50.29296875,0.0014000000000000679,12.664794921875,78.0,1.486206896551724,11.58917236328125
